old_id,new_id
1,1.
2,2.
3,3.
38,38.
89,89.
101,101.
105,105.
113,113.
118,118.
133,133.
161,161.
165,165.
167,167.
202,202.
203,203.
206,206.
223,223.
235,235.
240,240.
242,242.
242,242.
245,245.
258,258.
300,300.
301,301.
302,302.
312,312.
314,314.
315,315.
320,320.
323,323.
337,337.
349,349.
351,351.
372,372.
375,375.
397,397.
404,404.
465,465.
475,475.
479,479.
484,484.
485,485.
486,486.
487,487.
500,500.
501,501.
504,504.
505,505.
510,510.
512,512.
519,519.
532,532.
535,535.
540,540.
545,545.
548,548.
550,550.
553,553.
560,560.
575,575.
585,585.
603,603.
606,606.
616,616.
617,617.
705,705.
706,706.
717,717.
727,727.
757,757.
763,763.
772,772.
773,773.
798,798.
822,822.
874,874.
879,879.
900,900.
910,910.
911,911.
969,969.
975,975.
976,976.
979,979.
982,982.
983,983.
1009,1009.
1015,1015.
1020,1020.
1022,1022.
1100,1100.
1101,1101.
1111,1111.
1150,1150.
1165,1165.
1166,1166.
1208,1208.
1246,1246.
1251,1251.
1252,1252.
1317,1317.
1319,1319.
1362,1362.
1416,1416.
1447,1447.
1450,1450.
1452,1452.
1453,1453.
1480,1480.
1511,1511.
1546,1546.
1550,1550.
1579,1579.
1582,1582.
1587,1587.
1590,1590.
1591,1591.
1592,1592.
1594,1594.
1596,1596.
1597,1597.
1598,1598.
1600,1600.
1601,1601.
1602,1602.
1605,1605.
1607,1607.
1609,1609.
1610,1610.
1611,1611.
1614,1614.
1615,1615.
1617,1617.
1618,1618.
1621,1621.
1622,1622.
1625,1625.
1626,1626.
1628,1628.
1629,1629.
1630,1630.
1631,1631.
1635,1635.
1638,1638.
1639,1639.
1643,1643.
1660,1660.
1663,1663.
1664,1664.
1665,1665.
1666,1666.
1668,1668.
1669,1669.
1670,1670.
1671,1671.
1672,1672.
1673,1673.
1674,1674.
1676,1676.
1677,1677.
1678,1678.
1679,1679.
1680,1680.
1681,1681.
1682,1682.
1683,1683.
1684,1684.
1685,1685.
1700,1700.
1701,1701.
1703,1703.
1705,1705.
1707,1707.
1709,1709.
1710,1710.
1718,1718.
1721,1721.
1736,1736.
1740,1740.
1741,1741.
1742,1742.
1743,1743.
1744,1744.
1746,1746.
1747,1747.
1751,1751.
1756,1756.
1757,1757.
1758,1758.
1759,1759.
1760,1760.
1764,1764.
1765,1765.
1770,1770.
1771,1771.
1773,1773.
1778,1778.
1779,1779.
1780,1780.
1781,1781.
1782,1782.
1784,1784.
1785,1785.
1786,1786.
1787,1787.
1788,1788.
1789,1789.
1791,1791.
1793,1793.
1800,1800.
1802,1802.
1803,1803.
1810,1810.
1811,1811.
1812,1812.
1813,1813.
1814,1814.
1815,1815.
1816,1816.
1817,1817.
1822,1822.
1824,1824.
1825,1825.
1826,1826.
1829,1829.
1830,1830.
1832,1832.
1833,1833.
1835,1835.
1836,1836.
1837,1837.
1839,1839.
1840,1840.
1841,1841.
1842,1842.
1843,1843.
1844,1844.
1848,1848.
1850,1850.
1851,1851.
1852,1852.
1854,1854.
1855,1855.
1856,1856.
1858,1858.
1867,1867.
1869,1869.
1871,1871.
1874,1874.
1876,1876.
1879,1879.
1884,1884.
1885,1885.
1886,1886.
1887,1887.
1888,1888.
1889,1889.
1892,1892.
1893,1893.
1894,1894.
1895,1895.
1896,1896.
1898,1898.
1899,1899.
1900,1900.
1901,1901.
1902,1902.
1903,1903.
1904,1904.
1905,1905.
1906,1906.
1907,1907.
1910,1910.
1914,1914.
1915,1915.
1916,1916.
1917,1917.
1919,1919.
1920,1920.
1923,1923.
1925,1925.
1926,1926.
1929,1929.
1930,1930.
1933,1933.
1934,1934.
1935,1935.
1936,1936.
1939,1939.
1941,1941.
1942,1942.
1945,1945.
1949,1949.
1951,1951.
1952,1952.
1960,1960.
1961,1961.
1962,1962.
1963,1963.
1964,1964.
1965,1965.
1966,1966.
1967,1967.
1968,1968.
1973,1973.
1990,1990.
2000,2000.
2003,2003.
2005,2005.
2014,2014.
2024,2024.
2050,2050.
2100,2100.
2101,2101.
2102,2102.
2103,2103.
2104,2104.
2105,2105.
2110,2110.
2133,2133.
2140,2140.
2160,2160.
2161,2161.
2189,2189.
2213,2213.
2216,2216.
2217,2217.
2225,2225.
2243,2243.
2254,2254.
2268,2268.
2271,2271.
2277,2277.
2278,2278.
2305,2305.
2348,2348.
2365,2365.
2366,2366.
2380,2380.
2402,2402.
2407,2407.
2409,2409.
2422,2422.
2439,2439.
2445,2445.
2500,2500.
